City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
praia da vitoria,38.73,-27.07,288.15,93,75,4.36,PT,1588987025
pisco,-13.7,-76.22,293.15,82,51,7.2,PE,1588986835
manggar,-2.88,108.27,298.72,93,100,4.04,ID,1588987026
yulara,-25.24,130.99,289.15,38,0,7.7,AU,1588987026
manokwari,-0.87,134.08,302.52,74,36,3.57,ID,1588987027
marzuq,14.4,46.47,296.57,41,60,1.7,YE,1588987027
port blair,11.67,92.75,302.45,75,100,2.38,IN,1588987028
aguimes,27.91,-15.45,292.15,72,20,5.7,ES,1588987028
hithadhoo,-0.6,73.08,302.6,78,100,7.04,MV,1588987029
shahr-e babak,30.12,55.12,289.66,28,0,0.7,IR,1588987029
boa viagem,-5.13,-39.73,295.17,88,49,0.24,BR,1588987029
sao joao da barra,-21.64,-41.05,292.71,76,0,2.55,BR,1588987030
severo-kurilsk,50.68,156.12,274.52,88,83,6.97,RU,1588987031
nuuk,64.18,-51.72,278.15,80,100,3.1,GL,1588987031
nantucket,41.28,-70.1,282.15,87,90,3.1,US,1588986905
castro,-24.79,-50.01,281.95,92,0,1.55,BR,1588987032
touros,-5.2,-35.46,299.15,88,75,2.1,BR,1588987033
butaritari,3.07,172.79,301.61,73,100,3.57,KI,1588986756
sorland,67.67,12.69,274.17,84,100,5.36,NO,1588987033
port elizabeth,-33.92,25.57,289.15,100,90,1.5,ZA,1588987034
avarua,-21.21,-159.78,301.15,74,19,7.2,CK,1588987035
narsaq,60.92,-46.05,280.15,70,93,2.1,GL,1588987035
grindavik,63.84,-22.43,275.15,55,0,5.7,IS,1588987036
tasiilaq,65.61,-37.64,271.15,86,98,1.5,GL,1588987036
marystown,47.17,-55.15,273.79,94,8,4.31,CA,1588987036
itacare,-14.28,-39.0,296.93,77,100,6.37,BR,1588987037
quang ngai,15.12,108.8,304.34,65,39,1.53,VN,1588986838
hasaki,35.73,140.83,294.26,59,75,4.6,JP,1588987038
jamestown,42.1,-79.24,273.71,80,90,5.1,US,1588986833
ancud,-41.87,-73.82,286.48,100,90,3.6,CL,1588986760
hay river,60.82,-115.8,277.15,69,75,3.6,CA,1588987039
vila,42.03,-8.16,285.37,93,99,2.68,PT,1588987040
alice springs,-23.7,133.88,292.15,20,0,6.2,AU,1588986909
rocha,-34.48,-54.33,282.26,87,0,2.6,UY,1588987041
severobaykalsk,55.65,109.32,276.74,69,0,2.5,RU,1588987042
codrington,-38.27,141.97,285.1,68,100,7.76,AU,1588986797
kamariotissa,40.48,25.47,284.15,76,0,4.54,GR,1588987043
naze,28.37,129.48,297.15,78,75,6.2,JP,1588986774
camacha,33.08,-16.33,292.15,82,40,6.2,PT,1588987043
